age,income,savings_rate,debt_ratio,purchase_power,purchasing_power
77,111651.8,0.48,0.72,223777069.23,29.82
52,124619.16,0.42,0.91,272508394.65,96.54
54,84046.5,0.49,0.81,270924862.75,94.37
77,134541.16,0.36,0.39,223832916.05,29.9
75,124956.19,0.59,0.9,229938609.64,38.26
39,92015.23,0.4,0.76,273184583.86,97.46
41,103862.09,0.52,0.46,274201945.84,98.86
45,108173.33,0.28,0.46,275028523.07,99.99
42,98769.17,0.55,0.49,274546078.38,99.33
64,153745.34,0.37,0.8,256923564.3,75.2
57,105177.59,0.41,0.47,267812870.8,90.11
63,163364.99,0.28,0.56,258825902.0,77.81
73,121866.6,0.54,0.76,235763801.14,46.23
44,115294.8,0.33,0.72,274944524.89,99.87
74,104112.88,0.41,0.77,232931846.97,42.36
54,112293.62,0.39,0.79,270929072.03,94.38
64,103191.17,0.47,0.48,256954884.82,75.25
51,122602.82,0.34,0.81,273180789.12,97.46
41,136318.43,0.33,0.49,274223566.82,98.89
47,109054.09,0.3,0.66,274804035.27,99.68
65,118497.61,0.35,0.73,254990628.59,72.56
80,134963.14,0.33,0.49,213774401.98,16.13
60,100239.19,0.4,0.89,263721242.69,84.51
58,131593.32,0.46,0.59,266543448.62,88.37
51,157455.69,0.49,0.39,273217819.36,97.51
58,116736.84,0.38,0.84,266524086.3,88.35
62,166343.42,0.2,0.71,260565248.74,80.19
58,99579.85,0.57,0.71,266522632.05,88.34
76,116144.51,0.35,0.63,226951925.84,34.17
69,154937.16,0.6,0.79,246140116.77,60.44
55,100324.68,0.31,0.43,270026144.35,93.14
41,92902.65,0.42,0.56,274201107.33,98.86
63,95759.03,0.43,0.63,258793476.38,77.76
45,115825.13,0.5,0.5,274999808.83,99.95
46,137746.9,0.26,0.75,274948369.56,99.88
65,161509.41,0.43,0.6,254996251.1,72.56
37,94514.7,0.37,0.52,271810573.82,95.58
50,95331.5,0.51,0.41,273758059.45,98.25
63,97980.13,0.53,0.74,258773966.43,77.74
44,109203.18,0.45,0.79,274923153.95,99.84
58,166622.9,0.46,0.57,266544720.01,88.37
47,84203.89,0.5,0.67,274785175.35,99.66
77,116514.99,0.35,0.49,223817643.78,29.88
76,145298.35,0.43,0.79,226918228.82,34.12
72,136440.5,0.4,0.42,238574726.62,50.08
39,114144.96,0.48,0.65,273185815.8,97.47
77,122978.48,0.4,0.7,223787741.56,29.84
83,144041.46,0.53,0.95,202730199.93,1.01
64,110082.4,0.47,0.56,256945904.55,75.23
42,123245.84,0.27,0.77,274545762.32,99.33
43,104243.14,0.55,0.73,274770190.41,99.63
46,119612.95,0.47,0.87,274909418.45,99.83
52,105880.49,0.33,0.56,272560971.75,96.61
72,97690.53,0.58,0.56,238536695.44,50.03
74,133739.14,0.48,0.86,232905004.82,42.32
60,135600.9,0.49,0.44,263760295.96,84.56
58,153652.08,0.57,0.49,266540318.4,88.37
77,155588.46,0.52,0.51,223795606.87,29.85
76,143118.55,0.26,0.83,226936868.25,34.15
82,121224.23,0.43,0.43,206566125.27,6.26
58,169931.32,0.52,0.76,266503257.06,88.32
65,143808.8,0.36,0.69,254993331.09,72.56
77,109657.13,0.46,0.4,223815158.78,29.88
41,87605.3,0.49,0.57,274194589.83,98.85
76,107567.6,0.36,0.48,226966936.51,34.19
74,130866.0,0.56,0.73,232912565.31,42.33
52,131066.81,0.39,0.77,272529304.84,96.57
39,88343.15,0.39,0.64,273197925.86,97.48
38,113830.34,0.61,0.44,272544996.75,96.59
44,125831.86,0.45,0.72,274928219.77,99.85
67,114160.12,0.25,0.83,250791025.77,66.81
56,125965.54,0.41,0.77,268927659.11,91.64
77,106231.39,0.52,0.82,223763472.88,29.8
65,129216.7,0.5,0.49,255001766.55,72.57
49,108968.46,0.53,0.85,274158393.15,98.8
51,129630.14,0.49,0.54,273197352.33,97.48
50,100139.65,0.35,0.42,273773038.2,98.27
65,127055.12,0.51,0.8,254960584.04,72.51
50,137040.92,0.57,0.84,273692974.51,98.16
66,111134.62,0.38,0.71,252939386.27,69.75
73,106586.67,0.35,0.51,235814542.12,46.3
70,155602.93,0.54,0.51,243740840.78,57.15
44,76055.64,0.49,0.64,274939477.25,99.87
63,96474.74,0.5,0.85,258765536.5,77.72
75,108937.05,0.57,0.5,229991984.03,38.33
57,112990.31,0.49,0.81,267766535.67,90.05
73,124201.77,0.43,0.56,235802148.69,46.29
54,144781.46,0.44,0.86,270906368.23,94.35
71,192124.17,0.33,0.85,241165063.2,53.63
69,100429.64,0.51,0.6,246188797.92,60.51
51,111474.22,0.45,0.62,273192604.06,97.48
71,134768.5,0.4,0.77,241176297.29,53.64
47,82677.35,0.37,0.7,274794205.04,99.67
61,135928.28,0.48,0.73,262171369.21,82.39
66,134952.38,0.42,0.69,252936331.23,69.74
43,66998.46,0.3,0.51,274813232.96,99.69
41,104217.95,0.34,0.81,274184273.7,98.83
66,113765.27,0.39,0.55,252956286.95,69.77
64,153041.45,0.43,0.87,256903630.59,75.17
54,154970.91,0.29,0.53,270978115.42,94.44
63,110603.07,0.37,0.75,258786879.66,77.75
44,121076.24,0.42,0.54,274955399.27,99.89
70,128745.19,0.46,0.55,243748320.26,57.16
60,150456.29,0.41,0.6,263747908.58,84.55
75,145691.3,0.46,0.78,229965624.55,38.3
67,111521.54,0.5,0.7,250777172.44,66.79
34,104021.25,0.34,0.84,268930487.79,91.64
63,138180.44,0.38,0.54,258811940.55,77.79
52,93398.95,0.53,0.76,272522704.49,96.56
83,163393.7,0.64,0.83,202723105.23,1.0
41,149097.2,0.54,0.45,274200906.61,98.86
77,127357.62,0.24,0.61,223818641.12,29.88
47,99622.59,0.35,0.68,274796215.23,99.67
42,78068.33,0.4,0.56,274553366.41,99.34
63,145322.1,0.29,0.59,258818097.65,77.8
46,114631.76,0.34,0.77,274937427.28,99.86
70,113886.08,0.44,0.47,243760015.44,57.18
73,168528.14,0.34,0.78,235778685.25,46.25
64,118769.31,0.46,0.85,256913530.6,75.19
53,121874.41,0.61,0.69,271763083.71,95.52
69,149161.66,0.35,0.74,246187005.06,60.5
72,104186.36,0.49,0.47,238554827.26,50.05
59,103680.17,0.37,0.78,265184392.08,86.51
76,105042.24,0.49,0.59,226941295.25,34.16
46,100143.66,0.28,0.75,274946512.55,99.88
76,127331.85,0.31,0.92,226920956.29,34.13
37,195103.33,0.56,0.71,271747099.27,95.5
38,105774.39,0.4,0.75,272535097.45,96.57
75,118326.99,0.48,0.59,229991426.85,38.33
57,150923.93,0.41,0.38,267831108.99,90.14
36,99588.12,0.35,0.82,270932611.69,94.38
38,80432.62,0.57,0.45,272548193.15,96.59
67,147458.48,0.37,0.75,250782666.98,66.8
56,125618.4,0.48,0.4,268965971.08,91.69
70,100495.53,0.53,0.83,243713842.59,57.12
74,108498.1,0.47,0.46,232957475.05,42.39
72,131736.73,0.51,0.66,238527667.3,50.02
40,116166.45,0.49,0.68,273730222.72,98.21
52,130352.67,0.34,0.65,272550870.9,96.6
35,97162.03,0.46,0.61,269993312.65,93.1
62,142219.86,0.41,0.65,260542404.85,80.16
69,101333.73,0.4,0.56,246204386.16,60.53
43,70659.27,0.44,0.65,274793991.4,99.67
68,141957.7,0.54,0.58,248532521.41,63.71
44,136662.46,0.5,0.71,274921301.11,99.84
50,105546.74,0.57,0.5,273742697.78,98.23
58,98459.87,0.5,0.87,266513186.44,88.33
77,108934.62,0.55,0.62,223780946.09,29.83
66,132525.55,0.5,0.49,252952368.22,69.77
38,136199.5,0.45,0.67,272534147.54,96.57
73,135731.58,0.38,0.8,235775478.35,46.25
39,127611.72,0.4,0.34,273233131.95,97.53
61,123716.45,0.3,0.73,262196046.72,82.42
53,117342.53,0.49,0.63,271784819.42,95.55
56,147049.86,0.45,0.46,268962435.77,91.68
74,148309.68,0.36,0.87,232914788.8,42.33
44,155567.33,0.52,0.55,274939094.63,99.87
42,83165.72,0.52,0.57,274542676.41,99.32
52,89045.8,0.34,0.81,272536801.96,96.58
70,149948.94,0.4,0.73,243730461.44,57.14
42,112939.97,0.36,0.83,274527728.56,99.3
55,122861.44,0.39,0.74,269983884.01,93.08
78,162450.17,0.48,0.78,220506452.11,25.35
56,206871.9,0.48,0.83,268884455.34,91.58
65,127911.03,0.39,0.43,255022547.84,72.6
43,101641.24,0.51,0.83,274765822.49,99.63
52,129506.34,0.47,0.73,272524936.86,96.56
54,141908.44,0.42,0.44,270969435.77,94.43
71,196357.72,0.54,0.67,241158356.23,53.62
41,110288.19,0.33,0.39,274231468.9,98.9
80,98009.82,0.33,0.78,213739606.93,16.08
74,167293.98,0.35,0.67,232946161.38,42.38
74,117041.58,0.44,0.92,232908307.82,42.32
78,134544.93,0.41,0.47,220566212.08,25.43
54,84450.35,0.37,0.71,270943579.02,94.4
74,140581.1,0.52,0.57,232938069.35,42.37
40,81642.04,0.53,0.71,273730389.28,98.21
48,113187.2,0.35,0.72,274542350.21,99.32
61,163608.37,0.25,0.83,262187689.58,82.41
62,113224.55,0.43,0.79,260525670.81,80.13
58,139418.61,0.29,0.8,266536889.06,88.36
70,106547.88,0.44,0.41,243766189.58,57.19
68,190664.47,0.47,0.59,248537582.59,63.72
75,122331.8,0.36,0.78,229982431.87,38.32
44,98818.14,0.46,0.7,274934055.84,99.86
50,99118.46,0.32,0.5,273768199.11,98.26
67,130275.07,0.36,0.65,250798824.27,66.82
42,119499.31,0.25,0.58,274570128.06,99.36
39,102390.9,0.39,0.6,273201027.09,97.49
54,104303.8,0.37,0.8,270931981.14,94.38
44,126866.39,0.41,0.64,274943380.38,99.87
78,137025.86,0.58,0.37,220557243.55,25.42
71,118378.43,0.37,0.4,241228191.37,53.71
44,132984.35,0.32,0.82,274931466.42,99.86
79,106212.85,0.24,0.89,217185681.74,20.8
74,105578.42,0.36,0.73,232941313.85,42.37
53,117025.29,0.43,0.56,271800504.6,95.57
51,107325.15,0.41,0.91,273166613.47,97.44
39,84956.56,0.54,0.74,273175686.41,97.45
62,113892.45,0.41,0.79,260526702.02,80.14
62,120273.22,0.5,0.76,260518272.87,80.12
66,139927.53,0.4,0.61,252949229.72,69.76
65,120553.78,0.56,0.6,254979933.32,72.54
48,83602.31,0.31,0.51,274565981.01,99.36
47,120414.41,0.37,0.54,274811052.39,99.69
77,125338.72,0.43,0.8,223770846.97,29.82
79,121629.2,0.34,0.85,217175992.89,20.79
73,86694.33,0.33,0.73,235795260.18,46.28
53,111633.37,0.45,0.61,271793568.35,95.56
70,132435.18,0.4,0.48,243765155.1,57.19
63,133108.11,0.47,0.5,258804075.57,77.78
69,162852.17,0.48,0.54,246197872.43,60.52
67,118738.32,0.44,0.66,250787829.64,66.8
62,164122.58,0.57,0.71,260504660.47,80.1
51,109049.49,0.4,0.46,273214536.08,97.51
55,83581.26,0.5,0.87,269968768.06,93.06
38,95696.46,0.52,0.61,272537590.69,96.58
68,191073.22,0.4,0.81,248509728.03,63.68
52,95894.43,0.4,0.71,272539506.75,96.58
76,116665.14,0.44,0.54,226952039.94,34.17
70,136626.91,0.43,0.81,243717386.43,57.12
74,105637.09,0.25,0.72,232953179.06,42.39
37,99150.74,0.49,0.7,271780751.93,95.54
72,125522.06,0.29,0.68,238554605.26,50.05
50,94070.66,0.53,0.45,273751742.06,98.24
58,124804.48,0.47,0.78,266518701.64,88.34
62,133434.91,0.52,0.83,260504062.4,80.1
45,98551.73,0.32,0.43,275024682.48,99.98
40,104235.34,0.46,0.55,273749403.58,98.24
41,123151.37,0.38,0.83,274174137.51,98.82
58,115965.0,0.4,0.53,266558132.22,88.39
67,103689.32,0.31,0.77,250791625.07,66.81
51,127585.46,0.41,0.68,273188108.73,97.47
60,126174.8,0.4,0.66,263742534.19,84.54
59,160709.02,0.38,0.62,265200113.05,86.53
66,143438.99,0.43,0.59,252948166.93,69.76
74,93260.71,0.49,0.43,232957658.59,42.39
76,140787.65,0.43,0.8,226918801.99,34.12
44,100871.8,0.59,0.75,274915743.7,99.83
64,111110.28,0.37,0.75,256936700.77,75.22
65,123754.82,0.56,0.67,254971185.53,72.53
71,121058.79,0.51,0.54,241194098.26,53.67
60,100478.13,0.39,0.42,263769111.39,84.57
71,110243.69,0.36,0.76,241186058.68,53.66
75,118271.11,0.4,0.7,229988464.82,38.33
67,141057.84,0.31,0.57,250817994.85,66.84
72,136899.4,0.49,0.43,238560495.62,50.06
41,107971.65,0.44,0.45,274211664.95,98.87
52,101559.89,0.51,0.54,272545181.63,96.59
44,135923.07,0.46,0.77,274917434.78,99.84
71,131489.47,0.31,0.83,241181732.74,53.65
50,119566.73,0.54,0.82,273707470.11,98.18
65,147767.26,0.34,0.87,254968027.92,72.53
70,122433.01,0.56,0.85,243699540.75,57.1
65,105614.06,0.33,0.68,254998611.98,72.57
46,113465.24,0.52,0.43,274956264.37,99.89
75,120947.15,0.32,0.79,229986537.18,38.32
76,199195.98,0.31,0.5,226988401.82,34.22
78,129767.35,0.33,0.53,220568532.45,25.43
59,140784.66,0.5,0.52,265196928.56,86.53
62,123739.64,0.53,0.67,260525935.18,80.13
65,159314.6,0.49,0.56,254992476.86,72.56
73,116664.2,0.53,0.47,235801228.95,46.29
75,110933.55,0.45,0.62,229992557.08,38.33
55,150772.51,0.4,0.84,269963875.71,93.05
70,129155.87,0.59,0.71,243712089.3,57.12
56,119175.48,0.3,0.84,268933732.16,91.64
66,122645.06,0.4,0.48,252964868.9,69.78
40,136502.71,0.5,0.45,273756150.18,98.25
60,129980.65,0.53,0.71,263718911.99,84.51
66,111042.62,0.47,0.65,252935590.08,69.74
71,122657.33,0.57,0.76,241158694.09,53.62
38,114645.11,0.28,0.79,272542133.62,96.58
75,113319.22,0.57,0.72,229966942.95,38.3
57,113703.61,0.35,0.88,267772984.74,90.06
67,117460.8,0.6,0.58,250779168.34,66.79
55,172491.88,0.38,0.5,270021470.26,93.13
63,133799.81,0.41,0.68,258787395.37,77.75
35,76943.36,0.43,0.48,270007312.67,93.11
64,163970.75,0.34,0.57,256965579.11,75.26
43,111986.72,0.28,0.54,274821177.27,99.7
65,156716.54,0.48,0.64,254981468.85,72.54
53,136751.0,0.52,0.46,271803062.08,95.57
81,99805.02,0.33,0.37,210229993.11,11.28
74,153605.05,0.49,0.71,232918692.62,42.34
43,112183.97,0.44,0.75,274778083.74,99.65
81,119476.44,0.43,0.75,210178404.98,11.21
71,119260.36,0.41,0.8,241175228.77,53.64
64,129830.1,0.54,0.45,256951476.3,75.24
71,133101.78,0.47,0.62,241188215.44,53.66
65,169024.62,0.38,0.46,255027260.5,72.61
63,158625.82,0.35,0.81,258774485.0,77.74
52,118400.3,0.32,0.75,272542055.19,96.58
49,81143.03,0.32,0.52,274213056.56,98.87
77,124731.79,0.34,0.53,223816679.56,29.88
57,115961.45,0.42,0.86,267767098.95,90.05
39,94844.54,0.41,0.7,273189593.17,97.47
41,89375.49,0.47,0.73,274182320.37,98.83
54,117894.33,0.43,0.53,270954847.04,94.41
48,91963.09,0.21,0.56,274571012.22,99.36
50,89956.67,0.48,0.8,273724637.49,98.2
64,106284.65,0.59,0.72,256916706.8,75.19
55,112723.74,0.45,0.73,269980558.86,93.08
69,131211.05,0.47,0.69,246179431.07,60.49
76,116655.96,0.46,0.66,226935393.78,34.15
42,87907.98,0.43,0.78,274531258.25,99.31
67,115113.43,0.38,0.52,250810982.24,66.83
63,119044.54,0.34,0.55,258813707.01,77.79
60,112853.98,0.49,0.88,263708863.44,84.49
63,113013.47,0.46,0.57,258796163.0,77.77
60,118512.44,0.53,0.61,263732740.95,84.52
57,127714.04,0.61,0.74,267755826.43,90.03
48,86626.78,0.38,0.93,274522971.04,99.3
48,143860.74,0.36,0.62,274553959.33,99.34
73,140222.17,0.3,0.59,235815380.36,46.3
75,129793.5,0.33,0.81,229980974.13,38.32
46,114959.41,0.5,0.8,274914788.46,99.83
47,170038.03,0.46,0.76,274760746.68,99.62
73,123192.47,0.5,0.63,235783977.87,46.26
43,98696.74,0.41,0.56,274803660.77,99.68
45,121801.55,0.53,0.67,274975573.72,99.92
68,105785.93,0.48,0.81,248519799.51,63.7
66,115060.02,0.4,0.81,252926330.29,69.73
68,125970.47,0.39,0.45,248570079.05,63.77
74,124418.43,0.46,0.63,232939349.42,42.37
57,130861.8,0.45,0.6,267793779.74,90.08
55,114610.81,0.34,0.84,269978828.57,93.08
70,138233.83,0.42,0.71,243732114.87,57.14
59,112752.42,0.44,0.64,265190479.18,86.52
58,116299.55,0.43,0.4,266569310.39,88.41
58,166377.13,0.41,0.67,266535305.38,88.36
69,126446.76,0.56,0.43,246201680.56,60.52
68,108444.3,0.5,0.84,248513061.25,63.69
71,110650.74,0.37,0.78,241183299.41,53.65
64,124443.62,0.41,0.61,256947308.73,75.23
58,85370.07,0.59,0.58,266535569.27,88.36
47,127662.18,0.39,0.86,274767238.6,99.63
47,89663.4,0.53,0.55,274792658.68,99.67
41,91301.05,0.33,0.48,274217443.42,98.88
37,112397.45,0.33,0.91,271774082.43,95.53
76,164441.02,0.59,0.78,226888713.06,34.08
70,117701.42,0.46,0.74,243725538.54,57.13
66,200483.65,0.56,0.55,252929521.22,69.73
74,94441.34,0.49,0.47,232954034.58,42.39
35,88174.65,0.49,0.42,270007674.62,93.11
55,111139.56,0.51,0.57,269991654.89,93.09
73,134363.0,0.6,0.76,235751338.64,46.22
39,111774.14,0.35,0.53,273212731.88,97.5
58,126884.07,0.38,0.8,266528026.3,88.35
70,85624.37,0.54,0.5,243746271.1,57.16
43,99487.97,0.39,0.64,274796508.95,99.67
46,104902.17,0.57,0.85,274905808.36,99.82
66,159591.18,0.44,0.52,252957212.96,69.77
52,91596.87,0.39,0.56,272555348.34,96.6
71,149500.63,0.3,0.57,241218977.9,53.7
64,147239.92,0.33,0.42,256987048.02,75.29
68,127872.24,0.48,0.62,248536830.79,63.72
52,116658.3,0.47,0.56,272545623.99,96.59
70,134879.96,0.44,0.71,243729775.19,57.14
42,94134.39,0.3,0.79,274541723.96,99.32
63,115576.55,0.27,0.67,258806909.02,77.78
39,102207.94,0.41,0.42,273217699.37,97.51
52,107642.84,0.5,0.7,272528209.23,96.57
49,106124.57,0.41,0.41,274219360.21,98.88
61,131936.96,0.52,0.7,262171079.35,82.39
60,106852.25,0.39,0.69,263740842.35,84.54
58,136840.09,0.39,0.48,266567314.7,88.4
75,128084.58,0.38,0.8,229976151.07,38.31
75,100276.1,0.27,0.87,229985559.34,38.32
70,127898.65,0.51,0.82,243707947.32,57.11
70,119753.86,0.52,0.51,243746531.65,57.16
73,163369.93,0.44,0.7,235776305.47,46.25
61,109353.79,0.31,0.86,262181116.07,82.4
46,114009.51,0.26,0.6,274965212.57,99.9
39,118382.29,0.48,0.77,273170773.85,97.45
69,140447.75,0.56,0.4,246205923.98,60.53
67,114730.96,0.29,0.43,250831873.62,66.86
71,116189.28,0.52,0.77,241166646.4,53.63
46,132557.97,0.47,0.75,274920254.22,99.84
56,189286.05,0.41,0.77,268916949.24,91.62
72,114882.41,0.37,0.89,238520335.7,50.01
40,94309.71,0.28,0.41,273778599.85,98.28
45,88963.71,0.47,0.51,275001579.26,99.95
44,113925.83,0.4,0.82,274923964.39,99.85
54,85455.79,0.5,0.47,270952452.53,94.41
66,102099.55,0.46,0.75,252928458.23,69.73
50,134250.72,0.46,0.66,273734259.24,98.22
40,128139.09,0.35,0.45,273776457.43,98.27
61,167777.9,0.42,0.5,262212668.5,82.44
65,153348.7,0.53,0.68,254967137.89,72.52
62,122014.85,0.59,0.84,260497822.38,80.1
55,96694.31,0.49,0.79,269973081.6,93.07
61,195366.98,0.49,0.7,262163455.41,82.38
45,113278.88,0.29,0.66,275004822.9,99.96
77,111838.23,0.35,0.57,223808814.55,29.87
71,141914.57,0.43,0.47,241213494.33,53.69
72,104282.14,0.29,0.65,238556123.38,50.06
79,84757.37,0.54,0.36,217208793.12,20.83
47,124162.26,0.26,0.52,274828649.15,99.71
39,105261.53,0.42,0.61,273197308.97,97.48
43,82493.42,0.51,0.6,274791668.61,99.66
75,135070.17,0.46,0.46,230009688.79,38.36
82,92406.71,0.4,0.67,206543370.41,6.23
52,112048.66,0.29,0.7,272551253.47,96.6
71,129015.63,0.44,0.41,241218997.51,53.7
48,92429.22,0.38,0.9,274524174.8,99.3
45,119340.0,0.51,0.45,275005163.85,99.96
71,132179.85,0.51,0.82,241155628.72,53.62
44,147630.96,0.54,0.35,274965777.74,99.9
77,129412.45,0.18,0.83,223798368.82,29.85
57,87728.65,0.34,0.39,267823533.63,90.12
50,111754.3,0.32,0.83,273733106.19,98.22
66,109144.35,0.33,0.58,252959307.68,69.78
47,151021.35,0.39,0.75,274777730.51,99.65
68,126032.89,0.39,0.58,248554024.93,63.74
62,141173.43,0.38,0.4,260580822.05,80.21
51,121026.56,0.43,0.83,273169391.44,97.44
64,157739.14,0.53,0.48,256949333.98,75.24
68,112200.26,0.44,0.86,248516541.85,63.69
74,125006.06,0.4,0.5,232963604.74,42.4
40,132430.68,0.45,0.64,273738402.4,98.22
45,88646.88,0.42,0.79,274981586.01,99.92
47,96091.49,0.34,0.62,274804407.3,99.68
66,111013.5,0.44,0.49,252957681.24,69.77
71,82456.82,0.44,0.79,241181278.57,53.65
61,113641.64,0.45,0.8,262171709.52,82.39
61,119323.14,0.45,0.82,262167590.39,82.38
72,122790.88,0.38,0.6,238552323.63,50.05
51,156172.87,0.4,0.68,273186855.45,97.47
78,116533.34,0.41,0.56,220553660.07,25.41
47,117440.66,0.47,0.52,274800109.29,99.68
58,143214.87,0.37,0.75,266533897.87,88.36
77,135266.91,0.44,0.56,223800412.12,29.86
74,109513.21,0.37,0.6,232953137.93,42.39
77,91534.51,0.35,0.65,223799772.84,29.85
56,129719.01,0.48,0.75,268920161.41,91.63
74,144580.36,0.39,0.84,232915692.27,42.33
71,111144.55,0.44,0.73,241180911.73,53.65
61,125334.81,0.39,0.59,262203082.57,82.43
56,163378.74,0.42,0.72,268926782.11,91.64
67,122955.16,0.47,0.68,250781979.19,66.79
74,147572.73,0.46,0.44,232964389.17,42.4
51,128029.79,0.4,0.45,273219836.15,97.51
48,127051.63,0.36,0.45,274574668.53,99.37
61,134808.18,0.36,0.58,262207883.9,82.44
62,119578.56,0.49,0.8,260514586.86,80.12
68,117800.43,0.4,0.51,248560234.22,63.75
83,127112.09,0.37,0.6,202804069.94,1.11
68,123757.69,0.37,0.81,248528143.91,63.71
57,106535.74,0.54,0.81,267762052.96,90.04
53,142583.47,0.31,0.74,271793860.32,95.56
59,98804.71,0.41,0.52,265206757.15,86.54
58,119454.84,0.4,0.39,266574494.66,88.41
47,141403.75,0.43,0.46,274815067.74,99.7
60,158082.67,0.34,0.44,263786023.57,84.6
78,92696.65,0.46,0.5,220553740.99,25.41
52,103399.44,0.5,0.7,272529571.7,96.57
81,117468.68,0.4,0.45,210217285.93,11.26
55,117530.0,0.54,0.46,269999682.43,93.1
49,127209.86,0.51,0.54,274194129.8,98.85
45,90998.28,0.45,0.7,274986281.86,99.93
48,122399.7,0.43,0.72,274532343.34,99.31
62,134149.58,0.43,0.7,260533416.77,80.14
54,118169.72,0.47,0.58,270944890.07,94.4
65,128707.59,0.57,0.53,254986555.3,72.55
52,123961.4,0.48,0.52,272549772.96,96.6
58,96917.57,0.34,0.55,266561527.74,88.4
40,106830.94,0.34,0.86,273728292.67,98.21
76,167930.28,0.33,0.87,226916301.79,34.12
47,120583.91,0.29,0.69,274802419.13,99.68
66,94935.52,0.43,0.87,252921840.63,69.72
60,113648.68,0.55,0.73,263718112.65,84.5
78,110572.51,0.49,0.43,220558208.9,25.42
56,130048.21,0.28,0.9,268925769.25,91.63
58,139031.23,0.54,0.46,266548858.13,88.38
76,102527.52,0.4,0.67,226942343.9,34.16
80,108513.92,0.54,0.52,213743362.2,16.09
49,96704.54,0.47,0.56,274196722.06,98.85
72,92099.36,0.54,0.72,238526304.25,50.02
42,86586.71,0.33,0.66,274550628.24,99.33
76,122113.97,0.32,0.5,226971222.22,34.2
65,154719.12,0.23,0.55,255034090.33,72.62
67,102760.79,0.48,0.54,250797734.39,66.82
52,104405.4,0.39,0.86,272524414.94,96.56
57,86236.22,0.49,0.82,267773850.24,90.06
51,113083.63,0.42,0.65,273191854.78,97.47
49,86530.84,0.43,0.54,274202314.07,98.86
49,99791.13,0.29,0.78,274192795.2,98.84
58,113294.08,0.34,0.5,266567804.88,88.41
79,127587.78,0.36,0.54,217213125.86,20.84
45,95130.73,0.38,0.63,274998897.1,99.95
52,122111.61,0.39,0.81,272525750.78,96.56
74,122719.78,0.52,0.41,232957993.14,42.39
50,112915.96,0.31,0.45,273776466.57,98.27
60,116481.42,0.29,0.73,263746931.07,84.54
35,110936.09,0.48,0.51,270001496.48,93.11
40,123946.59,0.34,0.69,273745142.13,98.23
67,79637.26,0.58,0.56,250788637.96,66.8
74,135576.98,0.59,0.67,232914220.96,42.33
72,187789.38,0.38,0.4,238591761.38,50.11
60,118047.72,0.38,0.4,263776546.09,84.58
50,100968.68,0.4,0.81,273728274.13,98.21
37,90292.09,0.44,0.84,271774445.67,95.53
58,142590.81,0.34,0.56,266563629.26,88.4
54,108957.23,0.39,0.49,270963706.94,94.42
47,119669.26,0.45,0.37,274821055.24,99.7
67,131400.07,0.26,0.7,250805609.26,66.83
40,132130.44,0.5,0.74,273718979.59,98.2
73,129344.72,0.46,0.55,235799274.29,46.28
42,115704.12,0.49,0.75,274522406.25,99.3
