age,income,savings_rate,debt_ratio,purchase_power,purchasing_power
48,55082.7,0.27,0.55,12657.55,16.43
55,48114.29,0.27,0.17,23076.05,23.71
41,65737.95,0.19,0.51,25321.35,25.28
57,58518.66,0.21,0.25,26038.4,25.78
33,95814.55,0.19,0.5,33296.3,30.86
47,113524.96,0.06,0.56,46377.91,40.0
54,49828.68,0.24,0.31,20345.71,21.8
31,55338.96,0.18,0.28,32603.64,30.37
50,65006.29,0.21,0.5,20110.88,21.64
25,37447.72,0.18,0.36,13562.03,17.06
40,73198.76,0.17,0.44,33697.49,31.14
46,59266.67,0.09,0.41,33577.23,31.05
20,26288.26,0.12,0.18,8079.8,13.23
24,42002.34,0.09,0.52,11815.45,15.84
46,50646.68,0.1,0.2,39646.6,35.3
46,83659.58,0.29,0.57,15876.69,18.68
38,109814.32,0.09,0.23,80600.82,63.93
48,66448.55,0.12,0.47,30479.47,28.89
29,54812.94,0.2,0.24,31294.78,29.46
46,65181.37,0.2,0.26,39256.86,35.02
43,87450.38,0.09,0.26,62470.76,51.25
57,81533.92,0.25,0.47,16793.95,19.32
51,59681.84,0.25,0.38,23132.36,23.75
19,41234.21,0.11,0.54,2406.99,9.26
45,74663.57,0.12,0.25,51115.16,43.31
31,41971.17,0.28,0.45,13643.28,17.12
59,81004.41,0.26,0.48,13059.5,16.71
21,83411.2,0.22,0.18,41505.24,36.6
57,81653.26,0.07,0.3,45375.33,39.3
24,31743.95,0.15,0.34,11465.5,15.59
26,29764.51,0.19,0.28,13360.57,16.92
45,75877.08,0.1,0.26,53327.11,44.86
27,40728.61,0.16,0.44,15052.21,18.1
55,63734.27,0.2,0.21,34039.93,31.38
51,96967.63,0.13,0.45,40782.3,36.09
42,53815.94,0.25,0.57,15299.53,18.27
33,52009.69,0.26,0.38,22102.88,23.03
50,66400.14,0.13,0.41,32260.08,30.13
50,47131.02,0.26,0.13,30106.35,28.63
42,52725.0,0.08,0.53,26110.29,25.83
59,55716.41,0.26,0.24,18995.49,20.86
30,49933.38,0.09,0.41,26618.59,26.19
57,68257.07,0.07,0.59,17289.8,19.67
20,131009.51,0.21,0.4,41061.55,36.28
21,42454.1,0.17,0.46,6978.3,12.46
55,48400.79,0.28,0.32,15944.69,18.73
35,90767.91,0.14,0.13,70720.1,57.02
20,22145.71,0.12,0.5,-1680.66,6.4
20,23608.5,0.18,0.12,6308.19,11.99
46,54816.45,0.16,0.45,25268.46,25.24
41,58110.39,0.14,0.11,49287.84,42.04
55,50781.42,0.22,0.53,9052.24,13.91
50,61348.81,0.24,0.18,37368.15,33.7
51,65947.06,0.26,0.36,25758.16,25.59
19,58848.0,0.29,0.4,6152.31,11.88
37,61784.66,0.12,0.33,39244.94,35.01
20,31483.18,0.23,0.27,5616.28,11.5
44,83093.81,0.15,0.33,47945.36,41.1
50,51495.25,0.22,0.26,28780.17,27.7
24,28837.44,0.17,0.32,10266.79,14.76
50,87315.88,0.3,0.28,38400.46,34.42
22,66385.67,0.23,0.38,18344.32,20.4
29,42977.62,0.29,0.22,21923.69,22.91
35,53408.74,0.26,0.59,12312.38,16.19
56,46856.45,0.28,0.35,12874.05,16.58
42,67901.74,0.25,0.2,42423.22,37.24
23,86805.79,0.16,0.34,37151.13,33.55
52,73886.88,0.11,0.53,25968.64,25.73
24,66913.22,0.14,0.11,45050.26,39.07
40,77432.09,0.06,0.44,44541.97,38.72
29,53049.08,0.18,0.37,24448.97,24.67
34,80320.45,0.18,0.18,55554.98,46.42
51,75313.07,0.18,0.51,24010.65,24.36
27,82921.71,0.29,0.28,33772.89,31.19
24,39697.75,0.28,0.25,14202.55,17.51
34,40299.7,0.09,0.51,19944.41,21.52
47,83768.52,0.14,0.42,40432.44,35.85
21,46774.54,0.16,0.55,5283.52,11.27
38,56680.87,0.14,0.41,30346.71,28.79
54,56217.39,0.25,0.47,13423.73,16.96
37,140021.21,0.18,0.52,47024.25,40.45
44,54284.24,0.19,0.13,41747.23,36.76
21,30193.22,0.26,0.49,-1253.81,6.7
37,61689.64,0.25,0.41,26254.27,25.93
38,85691.67,0.08,0.13,72437.63,58.22
50,127250.09,0.23,0.35,54715.47,45.83
25,59562.09,0.16,0.14,38132.64,34.24
59,40851.64,0.12,0.47,7974.33,13.15
51,113118.34,0.06,0.37,64353.63,52.57
58,56059.09,0.17,0.58,7051.46,12.51
57,46769.03,0.14,0.19,25398.49,25.33
36,46857.53,0.11,0.4,27378.81,26.72
58,72345.98,0.22,0.21,33960.77,31.32
19,40994.63,0.24,0.41,2547.36,9.36
29,58850.38,0.11,0.46,25975.94,25.74
46,90540.96,0.06,0.46,47370.05,40.7
43,52453.19,0.26,0.51,17220.22,19.62
41,92351.55,0.05,0.53,44264.01,38.52
49,55131.52,0.28,0.14,34201.17,31.49
48,122509.3,0.21,0.27,66934.48,54.37
53,71096.2,0.13,0.44,29143.2,27.95
25,36220.64,0.11,0.35,16265.18,18.95
34,38571.6,0.05,0.2,33020.96,30.66
44,78094.27,0.11,0.38,45057.1,39.08
20,33771.98,0.08,0.3,10181.21,14.7
19,34783.87,0.2,0.3,5776.03,11.62
30,68605.51,0.09,0.5,29178.75,27.98
23,64628.94,0.18,0.3,27515.31,26.81
55,84967.3,0.2,0.11,55126.37,46.12
50,48149.23,0.12,0.13,37533.98,33.82
27,82494.6,0.06,0.53,32929.65,30.6
59,47589.69,0.06,0.58,8373.5,13.43
53,39518.57,0.06,0.44,18629.15,20.6
37,46636.23,0.23,0.28,27814.17,27.02
34,61728.71,0.13,0.57,22879.81,23.57
21,28970.57,0.25,0.43,640.97,8.03
38,59591.79,0.16,0.52,24248.81,24.53
42,68113.17,0.16,0.48,29262.03,28.04
51,58742.08,0.18,0.29,32130.5,30.04
42,55694.0,0.23,0.34,29292.51,28.06
29,38732.92,0.12,0.19,27474.5,26.79
26,49400.07,0.08,0.25,31073.85,29.3
54,39872.85,0.19,0.49,10776.31,15.11
56,49239.62,0.13,0.55,11303.4,15.48
58,44926.77,0.16,0.46,9690.06,14.35
38,57444.18,0.21,0.33,31753.91,29.78
53,57232.25,0.17,0.14,38044.25,34.18
43,81600.14,0.21,0.13,59583.52,49.23
53,97526.34,0.19,0.29,50137.31,42.63
43,49442.71,0.23,0.33,26412.04,26.04
47,115245.75,0.23,0.4,46050.84,39.77
36,49763.79,0.18,0.1,40170.88,35.66
36,62476.47,0.22,0.59,16404.12,19.05
20,47989.11,0.27,0.28,11435.75,15.57
53,134104.04,0.16,0.52,41591.05,36.66
34,50867.83,0.15,0.37,28413.74,27.44
59,37076.2,0.24,0.17,13660.23,17.13
54,93788.61,0.2,0.5,26594.69,26.17
51,50917.62,0.07,0.45,25031.87,25.08
22,37581.85,0.27,0.36,6538.46,12.15
51,48226.78,0.06,0.36,28875.18,27.77
32,51301.01,0.24,0.14,34765.75,31.88
39,50846.51,0.24,0.43,22305.49,23.17
38,73312.11,0.29,0.56,16629.18,19.2
26,50329.83,0.06,0.15,37598.71,33.86
25,38690.1,0.2,0.23,18657.06,20.62
21,60762.65,0.16,0.55,9039.03,13.9
35,63167.6,0.13,0.24,43992.2,38.33
51,42851.69,0.07,0.43,22068.01,23.01
30,72209.22,0.19,0.37,33658.17,31.11
40,64812.59,0.17,0.4,33521.67,31.01
40,92763.45,0.08,0.31,62595.04,51.34
48,64406.79,0.2,0.25,38037.49,34.17
56,48114.5,0.23,0.12,26444.76,26.07
56,55191.25,0.24,0.47,11320.15,15.49
26,64296.85,0.28,0.47,13895.69,17.29
45,52931.7,0.15,0.44,26173.01,25.88
45,56695.01,0.29,0.42,21140.78,22.36
52,57686.89,0.27,0.22,29305.93,28.07
39,47950.52,0.12,0.11,42035.83,36.97
48,52741.16,0.09,0.5,24369.29,24.62
51,64187.12,0.16,0.35,32585.81,30.36
46,88130.22,0.15,0.25,56587.25,47.14
51,66704.17,0.19,0.15,44022.44,38.35
23,43687.46,0.2,0.13,23548.32,24.04
37,49874.81,0.24,0.27,29587.13,28.26
22,65127.87,0.18,0.5,13494.08,17.01
53,67801.88,0.08,0.56,23740.06,24.18
35,49812.38,0.26,0.55,13927.44,17.31
46,80211.71,0.13,0.56,29199.61,27.99
48,72380.95,0.29,0.55,13946.93,17.33
47,52336.23,0.08,0.36,32742.11,30.47
24,44497.72,0.29,0.21,17747.08,19.99
53,53622.71,0.07,0.5,21796.28,22.82
59,139446.8,0.11,0.21,86976.71,68.38
55,68359.42,0.06,0.23,44775.05,38.88
42,65452.68,0.23,0.22,41761.33,36.77
47,70838.5,0.26,0.36,30395.41,28.83
49,92749.43,0.16,0.26,56096.57,46.8
53,59090.51,0.28,0.18,30781.23,29.1
51,53545.72,0.2,0.33,26187.5,25.89
39,77587.19,0.21,0.54,25247.81,25.23
50,59250.87,0.26,0.39,22604.64,23.38
41,49413.36,0.12,0.54,22262.99,23.14
51,46979.31,0.14,0.2,31747.55,29.77
21,76250.66,0.28,0.18,32649.88,30.4
36,61797.21,0.28,0.39,25763.59,25.59
43,54765.82,0.29,0.33,25521.04,25.42
49,58767.33,0.28,0.43,19568.02,21.26
21,56206.83,0.08,0.5,14983.44,18.05
58,52155.27,0.26,0.48,6550.4,12.16
42,46561.73,0.15,0.57,18190.31,20.3
50,67279.45,0.3,0.3,28744.56,27.67
40,87383.23,0.17,0.2,60339.55,49.76
41,85872.02,0.19,0.38,42718.43,37.44
20,31513.62,0.18,0.16,10653.45,15.03
45,90073.42,0.13,0.24,61078.48,50.28
20,42486.77,0.07,0.2,20576.84,21.96
44,89227.1,0.27,0.3,42948.2,37.6
35,69210.85,0.25,0.16,45572.98,39.44
58,39951.98,0.08,0.12,24867.62,24.96
51,104372.1,0.24,0.43,34705.0,31.84
27,51274.32,0.21,0.41,18851.63,20.76
57,67602.38,0.15,0.45,20673.13,22.03
47,47558.92,0.11,0.43,25216.46,25.21
44,71594.79,0.26,0.16,46113.69,39.82
53,83007.75,0.23,0.25,42759.14,37.47
43,112881.25,0.19,0.16,78197.37,62.25
42,93670.64,0.2,0.52,31130.01,29.34
31,65164.99,0.07,0.47,31578.14,29.65
25,31009.67,0.17,0.2,15993.42,18.76
54,61807.54,0.1,0.27,36818.12,33.32
38,53021.85,0.1,0.58,22162.56,23.07
19,40927.86,0.22,0.4,4400.84,10.65
26,35027.95,0.28,0.5,5655.51,11.53
34,55109.73,0.15,0.23,38000.52,34.14
32,49340.1,0.1,0.21,36928.13,33.4
30,46846.24,0.21,0.49,15480.8,18.4
41,54905.98,0.27,0.44,21156.73,22.37
33,55285.11,0.24,0.44,21290.21,22.46
46,67480.16,0.27,0.38,28235.07,27.32
52,38951.69,0.18,0.38,16769.62,19.3
20,17616.06,0.24,0.47,-5167.38,3.97
50,57032.69,0.09,0.24,40132.81,35.64
41,59272.73,0.14,0.28,40240.26,35.71
40,64884.33,0.15,0.54,26083.13,25.81
43,53235.63,0.18,0.25,35538.67,32.42
40,61976.34,0.28,0.37,26544.37,26.14
40,63841.42,0.27,0.45,23384.42,23.93
24,36553.55,0.08,0.6,7098.95,12.54
33,77628.58,0.09,0.32,49246.4,42.01
55,61829.3,0.14,0.31,30242.74,28.72
51,71098.62,0.12,0.52,25932.27,25.71
26,50138.87,0.2,0.5,12505.12,16.32
23,101756.3,0.28,0.47,20398.61,21.84
57,68007.12,0.29,0.33,19856.16,21.46
22,36007.63,0.21,0.26,11793.93,15.82
24,61650.44,0.26,0.4,16095.65,18.83
50,44613.82,0.18,0.54,14220.8,17.52
48,64336.14,0.1,0.54,25863.37,25.66
53,65676.35,0.18,0.15,42531.37,37.31
58,58442.45,0.19,0.31,21784.75,22.81
34,53448.08,0.24,0.33,27207.18,26.6
31,43099.56,0.1,0.59,15565.99,18.46
48,52395.64,0.14,0.44,24998.46,25.05
37,61960.59,0.14,0.3,39545.46,35.22
35,45831.7,0.29,0.11,31471.9,29.58
37,104177.03,0.16,0.38,52743.67,44.45
46,40169.12,0.24,0.15,28467.32,27.48
44,58143.88,0.24,0.52,19035.44,20.89
55,60727.4,0.12,0.48,21092.58,22.32
44,71636.33,0.19,0.33,39217.27,35.0
41,50856.82,0.27,0.31,26442.42,26.06
27,73971.24,0.17,0.55,19703.67,21.35
30,38772.99,0.29,0.24,19930.2,21.51
19,29496.32,0.1,0.22,8031.55,13.19
19,48296.38,0.07,0.57,5641.41,11.52
52,81926.97,0.27,0.5,18103.75,20.23
50,46296.33,0.26,0.51,12055.26,16.01
43,147406.49,0.3,0.2,79315.81,63.03
58,45222.32,0.22,0.17,20382.99,21.83
19,22271.62,0.28,0.11,1566.97,8.67
34,66982.36,0.26,0.22,39009.87,34.85
57,52385.49,0.26,0.49,7377.22,12.74
23,37620.86,0.19,0.22,16240.28,18.93
40,72514.18,0.15,0.46,33962.01,31.32
47,46181.98,0.28,0.23,26241.57,25.92
21,23241.5,0.16,0.3,3804.26,10.24
30,46276.65,0.18,0.59,11694.26,15.75
44,84737.38,0.16,0.22,57214.31,47.58
34,50730.0,0.19,0.29,30475.43,28.88
55,96693.13,0.17,0.25,52797.02,44.49
40,87177.0,0.06,0.15,73678.14,59.09
47,67308.47,0.27,0.34,29600.07,28.27
32,62059.09,0.16,0.29,37133.26,33.54
46,67405.76,0.2,0.45,28154.82,27.26
23,46945.84,0.08,0.51,13234.25,16.83
48,57285.1,0.05,0.37,35926.41,32.69
23,40764.39,0.11,0.12,25833.88,25.64
30,41469.57,0.23,0.41,16620.61,19.2
34,37585.19,0.07,0.13,34143.46,31.45
44,85432.67,0.28,0.41,31866.04,29.86
44,65261.62,0.1,0.44,34470.68,31.68
39,61507.97,0.1,0.2,48368.55,41.39
57,64096.81,0.1,0.51,19359.42,21.11
54,49257.94,0.05,0.56,17121.33,19.55
51,49284.83,0.24,0.51,13140.88,16.77
48,58365.76,0.27,0.25,31066.68,29.3
55,89218.36,0.2,0.39,32745.95,30.47
41,48543.57,0.1,0.56,22108.05,23.03
28,29280.53,0.12,0.26,18105.27,20.24
23,37318.2,0.17,0.51,5981.93,11.76
54,83435.32,0.29,0.1,48471.66,41.47
52,43072.11,0.11,0.1,33986.32,31.34
49,48444.77,0.23,0.48,16255.75,18.94
28,56134.39,0.16,0.48,19788.51,21.41
37,140865.13,0.12,0.49,58771.51,48.67
50,46649.79,0.16,0.57,14459.77,17.69
19,21608.62,0.07,0.16,4833.77,10.96
23,50068.58,0.25,0.22,21038.43,22.29
22,68124.93,0.11,0.55,15614.3,18.49
34,49926.58,0.23,0.19,32988.69,30.64
42,45332.43,0.07,0.44,27599.12,26.87
34,65640.21,0.29,0.37,27017.73,26.47
20,50110.81,0.1,0.14,27816.77,27.03
46,106888.76,0.27,0.24,55867.16,46.64
50,73805.31,0.25,0.36,30437.72,28.86
45,78576.07,0.29,0.53,18822.12,20.74
38,57134.9,0.17,0.45,26935.19,26.41
42,136033.55,0.23,0.41,53730.2,45.14
30,48670.09,0.14,0.35,26375.23,26.02
53,52230.57,0.1,0.25,33034.23,30.67
51,106723.88,0.16,0.16,73145.23,58.72
51,45351.58,0.09,0.3,28204.35,27.3
55,40411.0,0.3,0.11,20288.94,21.76
30,56126.19,0.07,0.21,41873.44,36.85
21,40862.35,0.2,0.32,11318.22,15.49
19,33771.98,0.21,0.31,4411.15,10.66
51,81236.57,0.18,0.12,56995.46,47.42
58,45117.27,0.22,0.39,10352.82,14.82
28,52800.81,0.08,0.37,28617.03,27.58
47,57553.92,0.19,0.14,42331.68,37.17
31,44257.93,0.12,0.57,15894.61,18.69
30,53291.44,0.29,0.15,31499.31,29.6
49,78542.94,0.24,0.53,20442.21,21.87
20,97145.43,0.29,0.1,48600.35,41.56
53,70696.81,0.06,0.54,27029.27,26.47
41,40151.56,0.12,0.11,36332.78,32.98
35,58398.09,0.1,0.48,29199.65,27.99
44,63518.88,0.05,0.28,46901.48,40.37
26,67444.65,0.11,0.47,26252.76,25.93
47,65609.73,0.22,0.3,35006.01,32.05
44,89570.14,0.11,0.14,72508.7,58.27
28,58458.8,0.18,0.48,19758.04,21.39
44,99087.08,0.27,0.14,63307.23,51.84
52,54851.9,0.22,0.56,11457.98,15.59
59,57636.06,0.15,0.13,33386.03,30.92
25,63340.59,0.14,0.34,29420.52,28.15
22,35012.89,0.16,0.46,5775.3,11.62
29,43001.31,0.09,0.3,26936.54,26.41
47,54314.12,0.21,0.21,35198.41,32.19
54,50079.87,0.14,0.48,16787.49,19.31
43,71823.93,0.26,0.49,22772.44,23.5
39,42920.65,0.24,0.56,13988.07,17.36
54,43051.27,0.2,0.29,19750.19,21.39
28,99161.3,0.14,0.35,49965.63,42.51
55,49614.66,0.1,0.28,27103.73,26.53
27,53705.66,0.24,0.23,27036.36,26.48
42,46268.3,0.17,0.48,21816.1,22.83
53,61832.01,0.11,0.27,37503.62,33.8
53,51048.22,0.1,0.31,28940.06,27.81
54,43001.0,0.09,0.3,23876.1,24.27
36,88996.37,0.24,0.46,31529.55,29.62
57,82138.8,0.11,0.56,21526.84,22.63
50,60220.76,0.18,0.43,24877.91,24.97
42,82401.85,0.16,0.34,46599.09,40.16
41,111137.61,0.19,0.49,40393.79,35.82
50,75933.74,0.27,0.42,25175.48,25.18
55,67327.03,0.27,0.13,37205.59,33.59
30,57450.11,0.16,0.15,41192.39,36.38
31,67147.3,0.05,0.12,57932.91,48.08
41,57048.85,0.16,0.33,34758.12,31.88
43,58650.14,0.2,0.51,21853.83,22.86
53,68135.84,0.19,0.26,36554.77,33.13
59,48834.6,0.21,0.29,15626.81,18.5
48,57290.77,0.09,0.55,23411.46,23.95
35,58982.69,0.21,0.52,20444.03,21.87
38,84867.53,0.1,0.43,45233.43,39.2
43,49312.13,0.24,0.23,31306.21,29.46
40,76048.44,0.13,0.16,59283.22,49.02
31,70289.62,0.23,0.11,48910.32,41.77
37,75169.67,0.06,0.15,64337.51,52.56
54,49479.46,0.15,0.25,27596.15,26.87
30,36643.81,0.23,0.38,16060.11,18.81
59,65276.39,0.11,0.13,40988.49,36.23
37,63375.5,0.25,0.17,42041.79,36.97
30,74318.59,0.21,0.19,46463.91,40.06
27,41366.17,0.2,0.42,14969.18,18.04
25,61817.44,0.14,0.41,24744.1,24.88
46,84120.98,0.17,0.38,42469.82,37.27
32,54924.24,0.2,0.23,34451.16,31.66
49,69310.45,0.17,0.29,40262.44,35.73
37,66828.78,0.22,0.15,47106.47,40.51
34,47808.33,0.16,0.21,34085.01,31.41
23,53752.2,0.1,0.55,12943.05,16.63
53,98865.59,0.1,0.59,29273.55,28.04
30,54572.9,0.05,0.42,30293.78,28.76
43,46666.18,0.13,0.56,19726.15,21.37
39,52456.69,0.24,0.42,23575.21,24.06
54,41555.86,0.25,0.12,24301.41,24.57
41,90081.07,0.1,0.6,32529.33,30.32
34,72510.91,0.29,0.15,44638.99,38.79
57,50479.01,0.18,0.44,13596.44,17.08
57,41666.74,0.28,0.23,14782.75,17.91
32,45863.65,0.23,0.3,24949.21,25.02
49,53757.95,0.23,0.42,20994.9,22.26
23,46117.22,0.07,0.32,22425.86,23.26
53,61536.95,0.1,0.23,40159.39,35.65
41,91602.45,0.05,0.27,67726.65,54.93
47,53612.59,0.23,0.27,30307.02,28.77
29,36742.29,0.14,0.58,11216.64,15.42
36,46174.46,0.25,0.5,16863.3,19.37
30,53876.59,0.13,0.33,30415.76,28.84
27,41063.03,0.25,0.2,21277.03,22.45
28,47613.16,0.08,0.51,19541.75,21.24
35,52725.3,0.09,0.18,42842.14,37.53
56,77912.74,0.14,0.21,46906.2,40.37
25,39745.4,0.15,0.28,19094.66,20.93
31,50036.1,0.14,0.54,18597.47,20.58
58,69642.48,0.24,0.17,33947.95,31.31
27,42887.65,0.07,0.16,31915.09,29.89
45,70037.9,0.14,0.35,40551.58,35.93
20,44578.44,0.26,0.24,12224.34,16.12
23,46647.77,0.07,0.38,19733.03,21.37
47,49296.99,0.29,0.33,22588.58,23.37
55,85139.72,0.3,0.32,29600.86,28.27
56,120864.51,0.07,0.16,88683.32,69.58
37,60484.26,0.12,0.17,47938.74,41.09
26,36514.93,0.14,0.51,10332.8,14.8
19,37539.91,0.24,0.54,-3886.79,4.86
40,81551.73,0.2,0.22,53052.36,44.67
35,50825.36,0.21,0.16,36701.74,33.24
25,45655.88,0.24,0.13,25620.79,25.49
43,68347.02,0.08,0.4,40404.26,35.83
22,68079.21,0.26,0.46,12041.27,16.0
54,74287.24,0.23,0.29,34011.87,31.36
24,61555.39,0.19,0.44,17965.5,20.14
49,56260.86,0.27,0.46,17570.37,19.86
37,67202.53,0.23,0.57,19298.22,21.07
57,47976.01,0.1,0.13,30996.23,29.25
45,78984.6,0.16,0.2,55792.91,46.58
28,75762.91,0.17,0.13,52263.21,44.12
44,72558.62,0.06,0.53,34035.98,31.37
37,55179.8,0.29,0.5,16939.62,19.42
57,54325.02,0.08,0.39,22983.3,23.65
21,86086.75,0.22,0.14,45818.03,39.61
31,50377.94,0.18,0.24,31808.22,29.82
46,84005.86,0.06,0.25,62206.04,51.07
38,66604.6,0.28,0.38,28048.26,27.19
46,58004.11,0.26,0.23,33493.7,30.99
26,33986.12,0.18,0.14,21153.09,22.37
59,58768.13,0.11,0.47,16400.04,19.04
57,58742.79,0.08,0.25,33563.97,31.04
19,82286.88,0.14,0.33,32014.78,29.96
21,30124.1,0.11,0.16,13103.76,16.74
31,121541.7,0.18,0.5,41325.12,36.47
46,69164.37,0.29,0.38,26736.51,26.27
43,69032.09,0.19,0.55,22725.55,23.47
51,53509.49,0.27,0.35,21163.71,22.37
56,63429.67,0.21,0.57,8984.69,13.86
